wijk,part,order,long,lat
Helmersbuurt,1,1,4.86377873689463,52.363065125694
Helmersbuurt,1,2,4.87751271994304,52.36677026006
Helmersbuurt,1,3,4.87913100252309,52.3653799205046
Helmersbuurt,1,4,4.87886329642698,52.363801990614
Helmersbuurt,1,5,4.86553397322268,52.3602930624057
Vondelparkbuurt,1,0,4.8774482262513,52.3607791901153
Vondelparkbuurt,1,1,4.8740138718046,52.3610172849413
Vondelparkbuurt,1,2,4.86579497548294,52.3588201315499
Vondelparkbuurt,1,3,4.86468788135518,52.360098880495
Vondelparkbuurt,1,4,4.87931144883616,52.364342009615
Vondelparkbuurt,1,5,4.88209405387982,52.362054402969
Vondelparkbuurt,1,6,4.8774482262513,52.3607791901153
Sloterdijk Nieuw-West,1,0,4.7598127215473,52.4002138739376
Sloterdijk Nieuw-West,1,1,4.7712451573112,52.3983882755101
Sloterdijk Nieuw-West,1,2,4.77062626924939,52.3973712289576
Sloterdijk Nieuw-West,1,3,4.77298455017291,52.3948220912159
Sloterdijk Nieuw-West,1,4,4.77500395570446,52.3991235014659
Sloterdijk Nieuw-West,1,5,4.79270750680086,52.3991404742834
Sloterdijk Nieuw-West,1,6,4.80017168743687,52.4001993449133
Sloterdijk Nieuw-West,1,7,4.80207958576166,52.3992355498564
Sloterdijk Nieuw-West,1,8,4.80540516812094,52.3945695352536
Sloterdijk Nieuw-West,1,9,4.80854514747029,52.395433313673
Sloterdijk Nieuw-West,1,10,4.81245240156053,52.3930424697078
Sloterdijk Nieuw-West,1,11,4.81617262468281,52.3919102698639
Sloterdijk Nieuw-West,1,12,4.83491707622913,52.3920375561428
Sloterdijk Nieuw-West,1,13,4.83556979855936,52.3922909776392
Sloterdijk Nieuw-West,1,14,4.83579048272485,52.3954328219853
Sloterdijk Nieuw-West,1,15,4.83884902939663,52.3961725175375
Sloterdijk Nieuw-West,1,16,4.84175851258939,52.395082432806
Sloterdijk Nieuw-West,1,17,4.84065913057758,52.3942090721483
Sloterdijk Nieuw-West,1,18,4.84431243113299,52.3953024920857
Sloterdijk Nieuw-West,1,19,4.84480709521064,52.385106245847
Sloterdijk Nieuw-West,1,20,4.75895263232485,52.3841175609362
Sloterdijk Nieuw-West,1,21,4.7574819941979,52.3968827781205
Sloterdijk Nieuw-West,1,22,4.75828547282742,52.3992022025152
Sloterdijk Nieuw-West,1,23,4.75936434394197,52.3989069533091
Sloterdijk Nieuw-West,1,24,4.7598127215473,52.4002138739376
Geuzenveld,1,0,4.81200319148352,52.3846535584457
Geuzenveld,1,1,4.812164316702,52.380562149913
Geuzenveld,1,2,4.80937807896048,52.3803671061358
Geuzenveld,1,3,4.80757773727646,52.3724374330585
Geuzenveld,1,4,4.79299532264386,52.3737909035576
Geuzenveld,1,5,4.78921975924856,52.3759984451258
Geuzenveld,1,6,4.7809260782881,52.3696376778013
Geuzenveld,1,7,4.76458614693791,52.3792029850912
Geuzenveld,1,8,4.76016778867863,52.3813922917579
Geuzenveld,1,9,4.75907800540028,52.3809406859751
Geuzenveld,1,10,4.75895263232485,52.3841175609362
Geuzenveld,1,11,4.81200319148352,52.3846535584457
Slotermeer-West,1,0,4.81736174864778,52.3719665216473
Slotermeer-West,1,1,4.80757773727646,52.3724374330585
Slotermeer-West,1,2,4.80937807896048,52.3803671061358
Slotermeer-West,1,3,4.812164316702,52.380562149913
Slotermeer-West,1,4,4.81200319148352,52.3846535584457
Slotermeer-West,1,5,4.81872906337446,52.384729339096
Slotermeer-West,1,6,4.8189706724791,52.3821380939868
Slotermeer-West,1,7,4.82140443837481,52.3813754898034
Slotermeer-West,1,8,4.81736174864778,52.3719665216473
Slotermeer-Noordoost,1,0,4.83925155853437,52.3850155727677
Slotermeer-Noordoost,1,1,4.83929960111105,52.3826944012975
Slotermeer-Noordoost,1,2,4.83669489526181,52.3763505542926
Slotermeer-Noordoost,1,3,4.82385752405808,52.3783767779049
Slotermeer-Noordoost,1,4,4.82064167394133,52.379551465862
Slotermeer-Noordoost,1,5,4.82140443837481,52.3813754898034
Slotermeer-Noordoost,1,6,4.81888216880293,52.3822867488864
Slotermeer-Noordoost,1,7,4.81872906337446,52.384729339096
Slotermeer-Noordoost,1,8,4.83925155853437,52.3850155727677
Slotermeer-Zuidoost,1,0,4.83441234911229,52.3703759856256
Slotermeer-Zuidoost,1,1,4.83231282513362,52.3707925882453
Slotermeer-Zuidoost,1,2,4.83078699264924,52.3696958331311
Slotermeer-Zuidoost,1,3,4.82715455392086,52.3721253435281
Slotermeer-Zuidoost,1,4,4.81217797000386,52.3597231839463
Slotermeer-Zuidoost,1,5,4.80512589487114,52.3715977571233
Slotermeer-Zuidoost,1,6,4.80526797756758,52.3726656090094
Slotermeer-Zuidoost,1,7,4.81736174864778,52.3719665216473
Slotermeer-Zuidoost,1,8,4.82064167394133,52.379551465862
Slotermeer-Zuidoost,1,9,4.82401390189826,52.3783353782508
Slotermeer-Zuidoost,1,10,4.83669489526181,52.3763505542926
Slotermeer-Zuidoost,1,11,4.83441234911229,52.3703759856256
Lutkemeer/Ookmeer,1,0,4.76016778867863,52.3813922917579
Lutkemeer/Ookmeer,1,1,4.7809260782881,52.3696376778013
Lutkemeer/Ookmeer,1,2,4.78921975924856,52.3759984451258
Lutkemeer/Ookmeer,1,3,4.79299532264386,52.3737909035576
Lutkemeer/Ookmeer,1,4,4.80526797756758,52.3726656090094
Lutkemeer/Ookmeer,1,5,4.80530114129487,52.371090297378
Lutkemeer/Ookmeer,1,6,4.8075329038613,52.3669149573855
Lutkemeer/Ookmeer,1,7,4.7842463154517,52.3620884225033
Lutkemeer/Ookmeer,1,8,4.77828277552736,52.3574303532779
Lutkemeer/Ookmeer,1,9,4.77589390130591,52.3572792413419
Lutkemeer/Ookmeer,1,10,4.77347573710663,52.3552998250776
Lutkemeer/Ookmeer,1,11,4.77027536380015,52.3540777767756
Lutkemeer/Ookmeer,1,12,4.76739272776032,52.3512685526819
Lutkemeer/Ookmeer,1,13,4.75665293796443,52.3555195495965
Lutkemeer/Ookmeer,1,14,4.75494094414211,52.3572188869491
Lutkemeer/Ookmeer,1,15,4.75857468358868,52.371594350675
Lutkemeer/Ookmeer,1,16,4.75804697710314,52.3750653136928
Lutkemeer/Ookmeer,1,17,4.75643387271346,52.3777635400039
Lutkemeer/Ookmeer,1,18,4.75912470757262,52.3793292440585
Lutkemeer/Ookmeer,1,19,4.75907800540028,52.3809406859751
Lutkemeer/Ookmeer,1,20,4.76016778867863,52.3813922917579
De Aker,1,0,4.78797112798375,52.3526381620565
De Aker,1,1,4.79180626977002,52.3531868444899
De Aker,1,2,4.7955701782821,52.3462509841325
